Account,Final_Score,Final_Decision
10640554421,345,Accept
10355464620,43,Reject
10536090858,230,Refer
10763579344,266,Refer
10222440314,300,Refer
10728088103,166,Refer
10650922281,350,Accept
10204750108,152,Refer
10277198046,280,Refer
10963624010,329,Accept
10269959454,255,Refer
10630451772,300,Refer
10271125367,334,Accept
10225082863,256,Refer
10716039933,379,Accept
10360634587,185,Refer
10741818491,238,Refer
10021330119,278,Refer
10123995175,297,Refer
10889964429,265,Refer
10380361912,305,Accept
10884159298,386,Accept
10409174370,277,Refer
10317945751,385,Accept
10794383449,49,Reject
10561148011,137,Reject
10382501843,278,Refer
10959509864,152,Refer
10204308146,123,Reject
10555393585,354,Accept
10710878845,222,Refer
10983801683,385,Accept
10503048214,312,Accept
10490443128,76,Reject
10621990052,338,Accept
10475213279,186,Refer
10403366677,185,Refer
10957465337,178,Refer
10866328282,382,Accept
10664262401,196,Refer
10405148003,248,Refer
10391637198,167,Refer
10587450320,58,Reject
10217550235,189,Refer
10393770776,359,Accept
10840130577,301,Refer
10896446370,357,Accept
10443659607,428,Accept
10492303849,252,Refer
10560882171,407,Accept
10334293393,304,Accept
10733377787,322,Accept
10619207541,276,Refer
10842065371,385,Accept
10240178561,311,Accept
10646503056,229,Refer
10296387653,393,Accept
10033400016,218,Refer
10542449302,309,Accept
10035557587,363,Accept
10041027454,347,Accept
10511523818,373,Accept
10602135524,340,Accept
10645457797,255,Refer
10655921201,182,Refer
10143261649,152,Refer
10375984667,363,Accept
10724827482,340,Accept
10261857678,242,Refer
10095648739,267,Refer
10553671549,354,Accept
10384615934,251,Refer
10759741890,255,Refer
10050608578,332,Accept
10649095313,200,Refer
10947915217,337,Accept
10925764633,222,Refer
10512314833,189,Refer
10959332581,211,Refer
10163580135,156,Refer
10637680000,209,Refer
10021550748,313,Accept
10830891856,172,Refer
10134819302,71,Reject
10244470363,156,Refer
10084829226,385,Accept
10775957010,216,Refer
10094221117,385,Accept
10614175302,174,Refer
10215621694,342,Accept
10614454883,196,Refer
10112065135,267,Refer
10649987088,214,Refer
10145281651,283,Refer
10364342293,164,Refer
10216212896,337,Accept
10575071777,340,Accept
10057115465,294,Refer
10056157690,182,Refer
10672564374,271,Refer
10677260720,147,Refer
10732037557,67,Reject
10878540512,328,Accept
10080222002,217,Refer
10785110471,323,Accept
10433720953,95,Reject
10539680011,158,Refer
10071583236,179,Refer
10975465785,210,Refer
10169891452,352,Accept
10838297609,152,Refer
10875194431,144,Refer
10805439229,233,Refer
10206874306,123,Reject
10491595102,210,Refer
10293109003,259,Refer
10548467599,319,Accept
10710610466,350,Accept
10689421230,315,Accept
10365142254,331,Accept
10855500615,363,Accept
10167803299,407,Accept
10957844255,298,Refer
10393643320,332,Accept
10315786802,360,Accept
10846191080,351,Accept
10464287095,188,Refer
10009758536,301,Refer
10205083469,340,Accept
10178600128,269,Refer
10393857684,373,Accept
10202774420,438,Accept
10679589690,257,Refer
10899146507,417,Accept
10073619677,335,Accept
10658423616,94,Reject
10453360492,229,Refer
10830216893,104,Reject
10030650373,223,Refer
10637281709,211,Refer
10165766618,226,Refer
10476018864,301,Refer
10421533941,379,Accept
10135435249,375,Accept
10774070919,282,Refer
10292995902,289,Refer
10800178725,265,Refer
10216092649,385,Accept
10442004885,165,Refer
10905796038,184,Refer
10957454005,288,Refer
10746594318,173,Refer
10628176758,331,Accept
10617381638,466,Accept
10106662558,358,Accept
10955318738,255,Refer
10035716877,279,Refer
10809507162,258,Refer
10453342712,373,Accept
10410393360,234,Refer
10588490099,100,Reject
10994381614,241,Refer
10293094055,249,Refer
10926039919,50,Reject
10088845793,320,Accept
10670851592,144,Refer
10535606911,282,Refer
10180747898,354,Accept
10070290972,283,Refer
10438481259,167,Refer
10161388121,206,Refer
10218388243,314,Accept
10284620683,158,Refer
10767709008,352,Accept
10712944849,73,Reject
10358065690,277,Refer
10185671596,125,Reject
10899473180,273,Refer
10741242383,243,Refer
10480357411,352,Accept
10563604688,229,Refer
10866955720,249,Refer
10828062120,14,Reject
10845936154,126,Reject
10245537055,198,Refer
10076437273,248,Refer
10964985131,273,Refer
10859527268,196,Refer
10906883222,229,Refer
10002724125,340,Accept
10166496146,407,Accept
10774084721,178,Refer
10205543263,62,Reject
10201151684,450,Accept
10608403537,328,Accept
10554177603,189,Refer
10664025914,316,Accept
10478414871,129,Reject
10981580587,444,Accept
10344850682,185,Refer
10076801653,107,Reject
10810728829,213,Refer
10127194233,150,Refer
10168364780,292,Refer
10102886460,385,Accept
10585486350,375,Accept
10100584361,385,Accept
10528833161,363,Accept
10994465854,239,Refer
10715525481,171,Refer
10699151356,281,Refer
10552933544,309,Accept
10218094776,202,Refer
10119681988,256,Refer
10924443171,214,Refer
10469027253,124,Reject
10493006304,49,Reject
10726692678,249,Refer
10653332438,181,Refer
10673527066,90,Reject
10476708240,332,Accept
10297902287,180,Refer
10961961912,253,Refer
10379418349,466,Accept
10423929232,201,Refer
10443417683,280,Refer
10654017823,196,Refer
10998509385,65,Reject
10667966919,171,Refer
10675314030,373,Accept
10413360440,212,Refer
10058129523,213,Refer
10932059550,177,Refer
10244812848,330,Accept
10334501836,417,Accept
10920478913,289,Refer
10850357747,189,Refer
10311283250,164,Refer
10327256694,243,Refer
10397443373,209,Refer
10459915883,325,Accept
10341617013,361,Accept
10854832991,132,Reject
10162517616,299,Refer
10529829603,197,Refer
10348497451,143,Refer
10632793960,361,Accept
10580250304,113,Reject
10110135386,198,Refer
10203832722,407,Accept
10620023044,300,Refer
10254172354,373,Accept
10629786010,348,Accept
10895022776,223,Refer
10750070192,259,Refer
10240623194,340,Accept
10801033282,185,Refer
10101582209,306,Accept
10004937938,297,Refer
10508999324,28,Reject
10628708714,255,Refer
10625065299,329,Accept
10786418985,309,Accept
10427595688,373,Accept
10678033825,366,Accept
10762714975,346,Accept
10959258430,294,Refer
10570087227,211,Refer
10588914890,330,Accept
10277631317,334,Accept
10492070000,214,Refer
10374578097,401,Accept
10327401628,385,Accept
10197836525,199,Refer
10654173559,66,Reject
10569083195,317,Accept
10945374026,322,Accept
10888081911,265,Refer
10566088205,180,Refer
10138894362,354,Accept
10126724704,345,Accept
10306766899,140,Refer
10271066574,352,Accept
10266766066,284,Refer
10740285386,300,Refer
10016776574,237,Refer
10092889575,322,Accept
10533723231,170,Refer
10074497460,220,Refer
10975552328,245,Refer
10832384616,209,Refer
10925651360,309,Accept
10916592099,319,Accept
10787293824,260,Refer
10584055454,330,Accept
10338330052,40,Reject
10616433259,265,Refer
10344305365,385,Accept
10747805871,143,Refer
10529112722,140,Refer
10238186780,329,Accept
10601228856,276,Refer
10063518611,341,Accept
10736063100,158,Refer
10473402729,133,Reject
10737802271,239,Refer
10801323377,318,Accept
10484630805,207,Refer
10680711819,266,Refer
10678887955,243,Refer
10431286711,362,Accept
10081285573,119,Reject
10347398123,203,Refer
10185426613,337,Accept
10977493754,244,Refer
10276278151,266,Refer
10640997109,214,Refer
10544882187,100,Reject
10968100083,196,Refer
10300180072,242,Refer
10445643802,198,Refer
10355942760,373,Accept
10347416267,244,Refer
10957590207,168,Refer
10785203194,144,Refer
10121140559,265,Refer
10974803797,264,Refer
10815578694,213,Refer
10856747323,238,Refer
10727877447,321,Accept
10952686933,287,Refer
10953164930,330,Accept
10261607799,308,Accept
10527957389,327,Accept
10910381151,277,Refer
10104026788,207,Refer
10411044964,353,Accept
10483709376,466,Accept
10658436025,185,Refer
10167294114,373,Accept
10015101579,322,Accept
10939698400,330,Accept
10684244209,379,Accept
10379908416,394,Accept
10323519310,248,Refer
10899004589,248,Refer
10567043601,361,Accept
10309539548,287,Refer
10710893728,113,Reject
10516399428,352,Accept
10314850100,255,Refer
10804459470,360,Accept
10739811508,230,Refer
10477067349,342,Accept
10591046891,229,Refer
10231662787,209,Refer
10151837552,352,Accept
10691337111,312,Accept
10005072074,235,Refer
10768185850,264,Refer
10449926050,318,Accept
10050864202,252,Refer
10113908142,291,Refer
10923091410,401,Accept
10759694623,134,Reject
10284344656,296,Refer
10521110731,240,Refer
10152605001,282,Refer
10722767755,273,Refer
10437465862,219,Refer
10223957613,344,Accept
10421731786,91,Reject
10554393475,320,Accept
10429038956,303,Accept
10128631285,401,Accept
10614264559,240,Refer
10036736423,197,Refer
10081759749,363,Accept
10640818737,143,Refer
10960595276,94,Reject
10340889050,297,Refer
10690888209,141,Refer
10325053084,263,Refer
10773140364,337,Accept
10541929042,309,Accept
10610649937,182,Refer
10441945047,390,Accept
10890480058,220,Refer
10772567171,354,Accept
10360712353,161,Refer
10518848738,375,Accept
10163269183,390,Accept
10465082660,189,Refer
10695323436,278,Refer
10291171766,385,Accept
10290185003,409,Accept
10795394256,261,Refer
10571405032,54,Reject
10707697540,209,Refer
10963644980,239,Refer
10901066614,287,Refer
10402711998,373,Accept
10655240293,239,Refer
10859431743,385,Accept
10552421623,335,Accept
10023284690,373,Accept
10463107922,302,Accept
10583260323,387,Accept
10754662895,283,Refer
10352413255,188,Refer
10454376212,288,Refer
10589388828,351,Accept
10780004491,245,Refer
10913357510,373,Accept
10200027345,351,Accept
10712215595,234,Refer
10763369981,219,Refer
10157981977,310,Accept
10328341058,279,Refer
10235568089,152,Refer
10029419786,377,Accept
10826813043,174,Refer
10902637106,373,Accept
10918552029,250,Refer
10449838110,156,Refer
10384029288,363,Accept
10716515741,207,Refer
10054480164,289,Refer
10710196107,373,Accept
10336056629,343,Accept
10936772936,276,Refer
10721264833,233,Refer
10522072883,363,Accept
10080939051,208,Refer
10032384423,318,Accept
10902210418,143,Refer
10751429242,283,Refer
10633396061,283,Refer
10402756566,279,Refer
10832061820,259,Refer
10791194713,265,Refer
10115663796,270,Refer
10158344858,440,Accept
10763423414,116,Reject
10605515198,206,Refer
10999051337,311,Accept
10863031348,235,Refer
10405346268,242,Refer
10743500893,40,Reject
10225321555,182,Refer
10602072321,332,Accept
10889052903,141,Refer
10965756098,288,Refer
10755742960,423,Accept
10388364750,244,Refer
10407980802,241,Refer
10294532739,272,Refer
10538515399,385,Accept
10749520645,335,Accept
10538958395,314,Accept
10213859899,417,Accept
10753134227,287,Refer
10975532352,93,Reject
10779716296,236,Refer
10992265519,200,Refer
10525902219,315,Accept
10279750662,268,Refer
10756283168,344,Accept
10670950299,275,Refer
10041412679,322,Accept
10151936057,181,Refer
10315238971,372,Accept
10799650397,228,Refer
10256964307,260,Refer
10641882254,364,Accept
10844032517,179,Refer
10396538389,259,Refer
10981878874,180,Refer
10122227959,373,Accept
10264208588,215,Refer
10936465325,223,Refer
10698531928,262,Refer
10080147803,243,Refer
10029760563,184,Refer
10638089098,135,Reject
10198674542,221,Refer
10157118107,340,Accept
10490154892,284,Refer
10654428529,351,Accept
10281850749,297,Refer
10616474880,352,Accept
10558362766,325,Accept
10551954839,206,Refer
10920859689,356,Accept
10129894815,351,Accept
10828629285,334,Accept
10515186723,146,Refer
10352541715,224,Refer
10770839208,261,Refer
10593026531,351,Accept
10480026577,70,Reject
10933667979,278,Refer
10170780038,327,Accept
10412598327,298,Refer
10703676197,199,Refer
10140143339,277,Refer
10814021638,373,Accept
10811240306,243,Refer
10465922417,290,Refer
10995924660,291,Refer
10322369871,190,Refer
10809174753,142,Refer
10098759339,344,Accept
10483672806,239,Refer
10168867541,173,Refer
10411073354,137,Reject
10010874440,241,Refer
10071613904,250,Refer
10732279978,175,Refer
10833306209,195,Refer
10613819819,388,Accept
10852367342,309,Accept
10603589988,214,Refer
10941100383,196,Refer
10863480789,211,Refer
10364483643,340,Accept
10431501495,294,Refer
10218991770,197,Refer
10084025654,229,Refer
10344071825,318,Accept
10169125791,385,Accept
10117000973,137,Reject
10100429105,233,Refer
10623163397,298,Refer
10993244031,362,Accept
10113979997,391,Accept
10465463674,201,Refer
10206426014,260,Refer
10845715282,427,Accept
10587035030,147,Refer
10170724711,253,Refer
10357346974,262,Refer
10225313213,101,Reject
10372097108,100,Reject
10912433071,89,Reject
10477331033,112,Reject
10500555067,326,Accept
10394210047,128,Reject
10319244570,281,Refer
10151733701,148,Refer
10268953009,331,Accept
10028780632,275,Refer
10971286102,137,Reject
10647656028,254,Refer
10114384124,279,Refer
10320379626,278,Refer
10582087518,183,Refer
10981767477,299,Refer
10132523504,373,Accept
10222623170,206,Refer
10058720885,290,Refer
10531218610,410,Accept
10881789993,216,Refer
10363370386,97,Reject
10440040860,297,Refer
10316045922,276,Refer
10208088591,239,Refer
10186333086,197,Refer
10004010063,361,Accept
10437651798,224,Refer
10070133434,375,Accept
10493679709,222,Refer
10766200643,320,Accept
10443063884,270,Refer
10480911923,429,Accept
10421230220,313,Accept
10720228801,310,Accept
10132809297,192,Refer
10051481947,287,Refer
10112158961,158,Refer
10994121280,257,Refer
10183950707,266,Refer
10989476406,295,Refer
10298234521,419,Accept
10183102672,249,Refer
10738127078,256,Refer
10300731321,124,Reject
10250437281,262,Refer
10434136854,255,Refer
10991753088,45,Reject
10686685331,271,Refer
10302765903,363,Accept
10932262651,183,Refer
10719150973,138,Refer
10583953279,373,Accept
10055972168,302,Accept
10892871254,247,Refer
10480439120,297,Refer
10041617141,311,Accept
10562704311,220,Refer
10323668034,280,Refer
10850182224,206,Refer
10475482656,326,Accept
10374371770,360,Accept
10880909025,276,Refer
10985678744,271,Refer
10326913900,291,Refer
10938329040,375,Accept
10137734858,353,Accept
10946471571,271,Refer
10910698238,270,Refer
10065754630,170,Refer
10672618795,297,Refer
10184513038,143,Refer
10259811919,321,Accept
10913107666,315,Accept
10518789284,152,Refer
10042591199,114,Reject
10816655513,379,Accept
10862312767,351,Accept
10339136387,337,Accept
10424868653,369,Accept
10303857720,351,Accept
10507826096,204,Refer
10075821791,321,Accept
10037441754,202,Refer
10272942533,385,Accept
10734082598,185,Refer
10849977863,269,Refer
10567323461,140,Refer
10012877803,225,Refer
10593689743,288,Refer
10520600415,150,Refer
10918769583,314,Accept
10249702883,277,Refer
10093048214,395,Accept
10074953916,262,Refer
10328532666,379,Accept
10887776945,119,Reject
10127379123,285,Refer
10648549667,348,Accept
10911933098,373,Accept
10440872005,351,Accept
10404058820,168,Refer
10277135178,99,Reject
10394633798,318,Accept
10504767284,239,Refer
10024787810,152,Refer
10763893832,149,Refer
10732122611,259,Refer
10429143388,385,Accept
10680414406,83,Reject
10726951294,240,Refer
10633017172,249,Refer
10730701746,126,Reject
10638471200,138,Refer
10170035665,309,Accept
10324380462,210,Refer
10100451910,289,Refer
10914271697,350,Accept
10537038689,173,Refer
10324979397,355,Accept
10036403382,363,Accept
10272221493,105,Reject
10119244592,145,Refer
10105328993,265,Refer
10485771845,71,Reject
10578510636,260,Refer
10512050534,244,Refer
10003517908,294,Refer
10816371130,309,Accept
10487189286,182,Refer
10559512852,234,Refer
10283607160,100,Reject
10755799927,269,Refer
10956672434,91,Reject
10328552285,308,Accept
10755298506,202,Refer
10634943472,295,Refer
10378119298,352,Accept
10240985171,311,Accept
10219589897,238,Refer
10764868493,216,Refer
10901066428,309,Accept
10218383634,339,Accept
10051233321,276,Refer
10918962016,192,Refer
10598796926,276,Refer
10144087808,183,Refer
10709509898,288,Refer
10982943731,237,Refer
10970317847,373,Accept
10577611766,271,Refer
10398520050,318,Accept
10749920383,153,Refer
10703673981,297,Refer
10592525097,363,Accept
10178883393,253,Refer
10567690375,391,Accept
10585883746,423,Accept
10161600582,385,Accept
10107365522,204,Refer
10029564329,197,Refer
10309840652,293,Refer
10738620035,204,Refer
10371227729,266,Refer
10049860330,309,Accept
10008311401,254,Refer
10572076391,302,Accept
10045137886,178,Refer
10892345794,241,Refer
10658128609,352,Accept
10548888240,407,Accept
10697037992,287,Refer
10785487543,306,Accept
10943175558,373,Accept
10006211012,200,Refer
10056256031,288,Refer
10410772501,310,Accept
10249732422,412,Accept
10175042721,323,Accept
10913728518,257,Refer
10340201458,331,Accept
10248470850,333,Accept
10063814078,294,Refer
10063276557,138,Refer
10349299334,290,Refer
10277793520,77,Reject
10534384101,262,Refer
10147475084,300,Refer
10408122452,315,Accept
10116527032,135,Reject
10245683269,315,Accept
10661355938,199,Refer
10070604474,375,Accept
10665415737,162,Refer
10065339047,299,Refer
10116632052,314,Accept
10298882707,40,Reject
10627117456,128,Reject
10016311288,248,Refer
10728055171,297,Refer
10686713088,238,Refer
10465382448,214,Refer
10851305115,304,Accept
10534749590,195,Refer
10900016191,149,Refer
10487686760,379,Accept
10479050130,118,Reject
10919308620,385,Accept
10339799112,112,Reject
10447745286,255,Refer
10119443633,285,Refer
10907752536,94,Reject
10570923952,374,Accept
10642661791,136,Reject
10938460418,312,Accept
10464657762,361,Accept
10146112458,268,Refer
10416361855,219,Refer
10193727290,218,Refer
10128358048,297,Refer
10245711138,66,Reject
10317074109,161,Refer
10511959195,342,Accept
10623218172,253,Refer
10360242937,299,Refer
10518137155,364,Accept
10904135188,94,Reject
10005680125,299,Refer
10814945340,347,Accept
10910495559,137,Reject
10370578483,255,Refer
10991027973,190,Refer
10136353950,89,Reject
10970017360,343,Accept
10724752829,110,Reject
10960486526,280,Refer
10694940403,281,Refer
10742666841,31,Reject
10867831693,259,Refer
10572130241,155,Refer
10720382179,311,Accept
10252457120,214,Refer
10031286113,321,Accept
10960893080,301,Refer
10402180847,320,Accept
10496252524,193,Refer
10597136770,279,Refer
10232389928,373,Accept
10265080296,312,Accept
10072814262,213,Refer
10347846085,240,Refer
10524650180,326,Accept
10784869809,214,Refer
10754611786,233,Refer
10820912455,385,Accept
10972746009,199,Refer
10298596949,151,Refer
10028539060,152,Refer
10242461722,373,Accept
10395276244,88,Reject
10776334449,147,Refer
10654309822,401,Accept
10606183884,254,Refer
10176627236,268,Refer
10962897499,283,Refer
10798137035,339,Accept
10367692875,385,Accept
10917420892,330,Accept
10488840143,266,Refer
10266824284,315,Accept
10147247642,233,Refer
10974300683,286,Refer
10295564291,85,Reject
10785502269,291,Refer
10101161263,370,Accept
10235448941,142,Refer
10551124019,294,Refer
10072546075,373,Accept
10751620918,119,Reject
10671123386,162,Refer
10433316902,394,Accept
10725565344,373,Accept
10804458878,363,Accept
10881969002,335,Accept
10676184531,351,Accept
10482009569,283,Refer
10804794740,215,Refer
10885274272,172,Refer
10525646797,110,Reject
10996730094,152,Refer
10936331665,321,Accept
10744949761,309,Accept
10358411966,320,Accept
10031939559,191,Refer
10635662937,213,Refer
10445694091,216,Refer
10390316117,348,Accept
10002580145,280,Refer
10684238740,314,Accept
10972694619,205,Refer
10381211386,183,Refer
10002172372,336,Accept
10075032256,283,Refer
10495222300,279,Refer
10922920376,154,Refer
10000453354,199,Refer
10847187887,415,Accept
10868479109,373,Accept
10398739628,294,Refer
10141035929,192,Refer
10307038346,238,Refer
10229544098,249,Refer
10735068707,361,Accept
10123324674,269,Refer
10124461948,321,Accept
10268978252,385,Accept
10766553261,120,Reject
10846252047,300,Refer
10170386385,283,Refer
10647816144,250,Refer
10142720763,301,Refer
10578163881,319,Accept
10952028553,211,Refer
10599156328,145,Refer
10218351075,264,Refer
10858698233,148,Refer
10844222713,253,Refer
10048824527,192,Refer
10719696500,188,Refer
10275763025,351,Accept
10711764784,161,Refer
10671683818,275,Refer
10849078326,297,Refer
10285095913,141,Refer
10350257509,272,Refer
10944298444,110,Reject
10954836891,380,Accept
10080705409,204,Refer
10518401099,83,Reject
10049084373,336,Accept
10293516203,344,Accept
10803745519,375,Accept
10724815240,168,Refer
10788460731,225,Refer
10649745176,183,Refer
10541361473,363,Accept
10860209535,143,Refer
10247582409,322,Accept
10980876093,92,Reject
10657324278,135,Reject
10734033987,255,Refer
10474000287,211,Refer
10090395841,98,Reject
10958887982,373,Accept
10140392368,332,Accept
10662705412,366,Accept
10742881114,149,Refer
10816043282,317,Accept
10589471380,301,Refer
10672295193,342,Accept
10835605028,366,Accept
10324352009,268,Refer
10264943398,337,Accept
10635334938,290,Refer
10371003466,266,Refer
10346711019,299,Refer
10723449458,252,Refer
10121933655,375,Accept
10246472623,385,Accept
